(0, BURNHAM HOUSE, 1610, WASHINGTON HTS, ANN ARBOR, MI, 48104-1700, 42.2804539, -83.7278092, 1000010, 0),
(185, ANN ARBOR INSTITUTE BUILDING, 914, HILL ST, ANN ARBOR, MI, 48104-3308, 42.2717459, -83.7373064, 1008098, 0),
(186, FLETCHER ST PARKING STRUCTURE, 201, FLETCHER ST, ANN ARBOR, MI, 48109-1022, 42.2801479, -83.7360395, 1000254, 0),
(187, THOMPSON ST PARKING STRUCTURE, 508, THOMPSON ST, ANN ARBOR, MI, 48104-2414, 42.2755074, -83.7436454, 1000255, 0),
(188, SALT STORAGE BUILDING, 950, FULLER ST, ANN ARBOR, MI, 48104-1215, 42.2859895, -83.738603, 1000268, 0),
(189, BRIARWOOD 10, 1801, BRIARWOOD CIR, ANN ARBOR, MI, 48108-3347, 42.2428573, -83.7508377, 1008130, 0),
(190, LLOYD ALICE CROCKER HALL, 100, OBSERVATORY ST, ANN ARBOR, MI, 48109-2025, 42.281276, -83.731181, 1000059, 0),
(191, SIMPSON THOMAS H MEMORIAL INST MEDICAL RESEARCH, 102, OBSERVATORY ST, ANN ARBOR, MI, 48109-5724, 42.2818622, -83.7307396, 1000212, 0),
(192, FGRL BLDG 5, 214, MADISON ST, ANN ARBOR, MI, 48109, 0.0, 0.0, 1005454, 0),
(193, 328  JOHN ST, 328, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005545, 0),
(194, 335  JOHN ST, 335, JOHN ST, ANN ARBOR, MI, 48109, 42.2731141, -83.7454266, 1005548, 0),
(195, LURIE ANN AND ROBERT H BIOMEDICAL ENGINEERING BLD, 1101, BEAL AVE, ANN ARBOR, MI, 48109-2110, 42.2888527, -83.7136431, 1000406, 0),
(196, 210-212 S FIFTH AVE, 210, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2800736, -83.746257, 1005497, 0),
(197, PALMER COMMONS, 100, WASHTENAW AVE, ANN ARBOR, MI, 48109-2218, 42.2593497, -83.7104997, 1005047, 0),
(198, 609 S FIFTH AVE, 609, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2861964, -83.7458684, 1005539, 0),
(199, NORTH CAMPUS RESEARCH COMPLEX BUILDING 18, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005258, 0),
(200, KRESGE HALL, 700, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1234, 42.278509, -83.740595, 1000137, 0),
(201, WOLVERINE TOWER, 3003, STATE ST, ANN ARBOR, MI, 48109-1276, 42.2432489, -83.7372213, 1008090, 0),
(202, BAITS VERA I PARKER HOUSE, 1230, HUBBARD ST, ANN ARBOR, MI, 48109-2082, 42.2953195, -83.7047363, 1000512, 0),
(203, OH VANDENBERG ARTHUR AND HAZEL HALL, 623, OXFORD RD, ANN ARBOR, MI, 48104-2654, 42.2743976, -83.7256569, 1000041, 0),
(204, DOMINO FARMS, 24, FRANK LLOYD WRIGHT DR, ANN ARBOR, MI, 48105-9755, 42.3178846, -83.6827037, 1008013, 0),
(205, CENTRAL POWER PLANT, 1120, HURON ST, ANN ARBOR, MI, 48104-1631, 42.2807779, -83.7344935, 1000260, 0),
(206, BRIARWOOD 5, 325, BRIARWOOD CIR, ANN ARBOR, MI, 48108-1605, 42.2431373, -83.7458383, 1008016, 0),
(207, 1443 WASHTENAW AVENUE BUILDING, 1443, WASHTENAW AVE, ANN ARBOR, MI, 48104-3120, 42.2745422, -83.7298125, 1000886, 0),
(208, UNIVERSITY HOSPITAL, 1500, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5000, 42.2821095, -83.7273205, 1000316, 0),
(209, FISHER RAY BASEBALL STADIUM, 1114, STATE ST, ANN ARBOR, MI, 48104, 42.2687719, -83.7406451, 1000733, 0),
(210, NORTH CAMPUS MICROWAVE TOWER, 1655, DEAN RD, ANN ARBOR, MI, 48109-2118, 42.2963993, -83.6959615, 1002517, 0),
(211, UM TRANS RES FLAMMABLE STOR BLDG, 2901, BAXTER RD, ANN ARBOR, MI, 48109-2150, 42.2980756, -83.7031293, 1002519, 0),
(212, COOK WILLIAM W LEGAL RESEARCH LIBRARY, 801, MONROE ST, ANN ARBOR, MI, 48109-1210, 42.2737929, -83.739237, 1000184, 0),
(213, RADRICK FARMS CARETAKERS HOUSE, 4875, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000955, 0),
(214, RADRICK FARMS TACKROOM-BARN, 4875, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000957, 0),
(215, LURIE ROBERT H ENGINEERING CTR, 1221, BEAL AVE, ANN ARBOR, MI, 48109-2102, 42.2914872, -83.7138939, 1000397, 0),
(216, NORTH CAMPUS RESEARCH COMPLEX BUILDING 14, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005254, 0),
(217, RADRICK FARMS GOLF CART BUILDING, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000974, 0),
(218, BOYER BUILDING, 201, HOOVER AVE, ANN ARBOR, MI, 48104-3704, 42.2697581, -83.747006, 1000880, 0),
(219, COUZENS HALL, 1300, ANN ST, ANN ARBOR, MI, 48109-2023, 0.0, 0.0, 1000053, 0),
(220, MULTIPLE BUILDING PROJECTS,  ,  , ANN ARBOR, MI, 48109, 42.2813722, -83.7484616, 1005202, 0),
(221, NORTH CAMPUS RESEARCH COMPLEX BUILDING 400, 1600, HURON PKWY, ANN ARBOR, MI, 48109-2800, 42.297726, -83.704761, 1005279, 0),
(222, NC GROUNDS STORAGE BUILDING # 3, 1655, DEAN RD, ANN ARBOR, MI, 48109-2118, 42.2963993, -83.6959615, 1005116, 0),
(223, CLEMENTS WILLIAM L LIBRARY, 909, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1190, 42.2754744, -83.7380041, 1000159, 0),
(224, 802 MONROE ST, 802, MONROE ST, ANN ARBOR, MI, 48104, 42.2731109, -83.7392087, 1005577, 0),
(225, CHABAD HOUSE, 715, HILL ST, ANN ARBOR, MI, 48104, 42.2722004, -83.7398081, 1005149, 0),
(226, 403 CHURCH STREET, 403, CHURCH ST, ANN ARBOR, MI, 48104, 42.2772854, -83.7344738, 1005619, 0),
(227, SURVIVAL FLIGHT ANN ARBOR AIRPORT, 747, AIRPORT DR, ANN ARBOR, MI, 48108, 0.0, 0.0, 1008036, 0),
(228, TAUBMAN A ALFRED HEALTH CARE CTR, 1620, MEDICAL CENTER DR, ANN ARBOR, MI, 48109, 42.2835288, -83.7282055, 1000317, 0),
(229, NORTH CAMPUS RESEARCH COMPLEX BUILDING 36, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005267, 0),
(230, MATTHAEI BOT GDNS NORTH BARN #1, 2224, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9740, 42.3035784, -83.6641992, 1000979, 0),
(231, MATTHAEI BOT GDNS RESEARCH-ADMIN, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000982, 0),
(232, MATTHAEI BOT GDNS GREENHOUSE #2, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000984, 0),
(233, MATTHAEI BOT GDNS GREENHOUSE #5, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000990, 0),
(234, MATTHAEI BOT GDNS REPTILE HSE, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000992, 0),
(235, PLANT STORAGE BUILDING #3, 326, HOOVER AVE, ANN ARBOR, MI, 48109-1002, 42.2694603, -83.7462744, 1008052, 0),
(236, CONSTRUCTION TRAILER CHILDRENS AND WOMENS HOSPITAL, 1541, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5101, 42.2812899, -83.726497, 1005221, 0),
(237, HATCHER H NORTH GRADUATE LIBRARY, 913, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1190, 42.276223, -83.7381768, 1000185, 0),
(238, ANGELL JAMES B HALL AND TISCH HALL, 435, STATE ST, ANN ARBOR, MI, 48109-1003, 42.2767246, -83.7397527, 1000152, 0),
(239, CENTRAL CAMPUS RESIDENTIAL DEVELOPMENT PHASE II, 327, HILL STREET, ANN ARBOR, MI, 48104, 42.2718235, -83.7459003, 1080022, 0),
(240, SCHOOL OF SOCIAL WORK BUILDING, 1080, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1106, 42.274577, -83.7361845, 1000219, 0),
(241, TAPPAN HALL, 855, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1357, 42.2755026, -83.7392806, 1000216, 0),
(242, EAST ANN ARBOR AMBULATORY SURGICAL CENTER, 4270, PLYMOUTH RD, ANN ARBOR, MI, 48109-2700, 42.2921349, -83.736384, 1005038, 0),
(243, 710 S DIVISION ST, 710, DIVISION ST, ANN ARBOR, MI, 48104, 42.2728186, -83.7444787, 1005525, 0),
(244, 734 S DIVISION ST, 734, DIVISION ST, ANN ARBOR, MI, 48104, 42.2721264, -83.7444995, 1005537, 0),
(245, 334 E MADISON ST, 334, MADISON ST, ANN ARBOR, MI, 48104, 42.2740624, -83.7456169, 1005559, 0),
(246, 616 S DIVISION ST, 616, DIVISION ST, ANN ARBOR, MI, 48104, 42.273642, -83.744446, 1005528, 0),
(247, MICHIGAN LEAGUE, 911, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1265, 42.2793479, -83.7377109, 1000191, 0),
(248, NORTH QUADRANGLE RESIDENTIAL AND ACADEMIC COMPLEX, 105, STATE ST, ANN ARBOR, MI, 48109, 42.2808674, -83.7396123, 1005177, 0),
(249, NORTH CAMPUS ADMINISTRATIVE COMPLEX, 2901, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2965622, -83.7027747, 1000399, 0),
(250, ARGUS BUILDING I, 535, WILLIAM ST, ANN ARBOR, MI, 48103-4943, 42.2779396, -83.7427363, 1000830, 0),
(251, NC GROUNDS STORAGE BUILDING # 1, 1655, DEAN RD, ANN ARBOR, MI, 48109-2159, 42.2963993, -83.6959615, 1000220, 0),
(252, MICHIGAN NEWS BUILDING, 412, MAYNARD ST, ANN ARBOR, MI, 48109-1399, 42.2774636, -83.742283, 1000222, 0),
(253, HATCHER HARLAN H SOUTH GRADUATE LIBRARY, 913, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1190, 42.276223, -83.7381768, 1000181, 0),
(254, 700 KMS PLACE, 3621, STATE ST, ANN ARBOR, MI, 48108-1633, 42.235515, -83.7374845, 1008126, 0),
(255, DANA SAMUEL TRASK BUILDING, 440, CHURCH ST, ANN ARBOR, MI, 48109-1041, 42.277324, -83.7366078, 1000189, 0),
(256, MATTHAEI BOT GDNS ENVIRONMENT, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000986, 0),
(257, 777 EISENHOWER PLAZA, 777, EISENHOWER PKWY, ANN ARBOR, MI, 48108, 42.2446474, -83.7372204, 1008026, 0),
(258, BAITS VERA I STANLEY HOUSE, 1210, HUBBARD ST, ANN ARBOR, MI, 48109-2030, 42.2953195, -83.7047363, 1000514, 0),
(259, NC GROUNDS STORAGE BUILDING # 2, 1655, DEAN RD, ANN ARBOR, MI, 48109-2118, 42.2963993, -83.6959615, 1005111, 0),
(260, POSTMA RICHARD L FAMILY CLUBHOUSE, 500, STADIUM BLVD, ANN ARBOR, MI, 48104-3700, 42.2642009, -83.7536208, 1005385, 0),
(261, ARGUS BUILDING III, 416, 4TH ST, ANN ARBOR, MI, 48103-4820, 42.2772791, -83.75507, 1000832, 0),
(262, TISCH PRESTON ROBERT TENNIS BLD, 2250, STATE ST, ANN ARBOR, MI, 48104-6108, 42.2540699, -83.7397395, 1000738, 0),
(263, GOLF COURSE PUMP HOUSE II, 500, STADIUM BLVD, ANN ARBOR, MI, 48104-3700, 42.2642009, -83.7536208, 1000739, 0),
(264, NICHOLS ARBORETUM STORAGE SHED, 1827, GEDDES AVE, ANN ARBOR, MI, 48104-1711, 42.2758077, -83.7251784, 1000006, 0),
(265, NORTH CAMPUS GROUND SVC FACILITY ANNEX, 2550, DRAPER DR, ANN ARBOR, MI, 48109-2115, 42.2929504, -83.7101313, 1005140, 0),
(266, NORTH CAMPUS RESEARCH COMPLEX BUILDING 23, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005261, 0),
(267, HUTCHINS HALL, 625, STATE ST, ANN ARBOR, MI, 48109-1215, 42.2736723, -83.7403583, 1000179, 0),
(268, 300 400 N INGALLS BOILER HSE, 400, INGALLS ST, ANN ARBOR, MI, 48109-2003, 42.2839188, -83.73779, 1000335, 0),
(269, NEW PHARMACY BUILDING, 1007, HURON ST, ANN ARBOR, MI, 48109, 42.2817101, -83.7600812, 1005492, 0),
(270, NORTH CAMPUS RESEARCH COMPLEX BUILDING 22, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005260, 0),
(271, EAST HOSPITAL MECHANICAL BLDG, 1501, SIMPSON DR, ANN ARBOR, MI, 48109, 42.283033, -83.729895, 1000306, 0),
(272, WEST ANN ARBOR HEALTH CENTER NEW, 380, PARKLAND PLAZA, ANN ARBOR, MI, 48103-6201, 0.0, 0.0, 1005388, 0),
(273, BROWN GEORGE GRANGER MEMORIAL LABORATORIES, 2350, HAYWARD ST, ANN ARBOR, MI, 48109-2125, 42.2933031, -83.7139924, 1000407, 0),
(274, 319-321 JOHN ST, 319-321, JOHN ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005576, 0),
(275, ENGINEERING RESEARCH BUILDING 2, 2200, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2099, 42.2895734, -83.7144789, 1000436, 0),
(276, SCHOOL OF KINESIOLOGY BUILDING, 830, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1048, 42.2780222, -83.7389593, 1000211, 0),
(277, MCITY, 2905, BAXTER RD, ANN ARBOR, MI, 48109, 42.2980659, -83.7020202, 1005381, 0),
(278, NORTH CAMPUS RESEARCH COMPLEX BUILDING 25, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005262, 0),
(279, ENGINEERING RESEARCH SUPPORT BLD, 1921, GREEN RD, ANN ARBOR, MI, 48105-2554, 42.3027392, -83.692711, 1002505, 0),
(280, EISENHOWER CP, 2705, INDUSTRIAL HWY, ANN ARBOR, MI, 48104-6293, 42.2481337, -83.7303106, 1005070, 0),
(281, 702 S DIVISION ST, 702, DIVISION ST, ANN ARBOR, MI, 48104, 42.2729757, -83.7444741, 1005523, 0),
(282, HUBBARD ST RECREATION FIELDS RESTROOM UNIT C, 1451, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2953195, -83.7047363, 1005583, 0),
(283, PLYMOUTH PARK, 2101, COMMONWEALTH BLVD, ANN ARBOR, MI, 48105-2969, 42.3082488, -83.694682, 1008100, 0),
(284, COLLEGIAN BUILDING, 333, MAYNARD ST, ANN ARBOR, MI, 48104-2293, 42.2782233, -83.7416386, 1005231, 0),
(285, 320 E MADISON ST, 320, MADISON ST, ANN ARBOR, MI, 48104, 42.2740577, -83.7458665, 1005556, 0),
(286, 1  MARSHALL CT, 1, MARSHALL CT, ANN ARBOR, MI, 48104, 42.2735175, -83.744678, 1005561, 0),
(287, LAY WALTER E AUTOMOTIVE ENGINEERING LABORATORY, 1231, BEAL AVE, ANN ARBOR, MI, 48109-2133, 42.2918806, -83.7139937, 1000400, 0),
(288, MASON HALL, 419, STATE ST, ANN ARBOR, MI, 48109-1027, 42.2770473, -83.7395208, 1000197, 0),
(289, MITCHELL FIELD RECREATION BUILDING, 1910, FULLER RD, ANN ARBOR, MI, 48109, 42.287081, -83.72349, 1005380, 0),
(290, AUTO LAB FUEL STORAGE BUILDING, 1231, BEAL AVE, ANN ARBOR, MI, 48109-2133, 42.2918806, -83.7139937, 1005168, 0),
(291, FLETCHER HALL, 915, SYBIL ST, ANN ARBOR, MI, 48104-3229, 42.2701838, -83.7427559, 1000055, 0),
(292, SITE IMPROVEMENT PROJECTS,  ,  , ANN ARBOR, MI, 48109, 42.2813722, -83.7484616, 1005203, 0),
(293, WALLACE MIKE AND MARY HOUSE, 620, OXFORD RD, ANN ARBOR, MI, 48104-2694, 42.274433, -83.7261626, 1008067, 0),
(294, KEEN CLIFFORD P ARENA, 616, HOOVER AVE, ANN ARBOR, MI, 48104-3717, 42.269598, -83.7415929, 1000732, 0),
(295, LAWYERS CLUB AND MUNGER CHARLES T RESIDENCES, 551, STATE ST, ANN ARBOR, MI, 48109-1208, 42.2744328, -83.7401474, 1000108, 0),
(296, MUNGER GRADUATE RESIDENCES, 540, THOMPSON ST, ANN ARBOR, MI, 48104-2414, 42.2747279, -83.7437081, 1005369, 0),
(297, GLERL SOUTH STATE, 4840, STATE ST, ANN ARBOR, MI, 48108, 42.2995275, -83.6987997, 1005294, 0),
(298, 1580 ELLSWORTH ROAD, 1580, ELLSWORTH RD, ANN ARBOR, MI, 48108-2417, 42.2293059, -83.7215593, 1005209, 0),
(299, MULTIPLE BUILDINGS,  ,  , ANN ARBOR, MI, 48109, 42.2813722, -83.7484616, 1080002, 0),
(300, PIERPONT WILBUR K COMMONS, 2101, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2090, 42.2911194, -83.7176029, 1000442, 0),
(301, NORTH CAMPUS RECREATION BUILDING, 2375, HUBBARD ST, ANN ARBOR, MI, 48109-2087, 42.2963253, -83.7110631, 1000427, 0),
(302, ANN ARBOR ICE CUBE, 2121, OAK VALLEY DR, ANN ARBOR, MI, 48103-8901, 0.0, 0.0, 1008116, 0),
(303, DANCE BUILDING, 1000, BAITS DR, ANN ARBOR, MI, 48109, 42.288983, -83.7215146, 1005439, 0),
(304, MATTHAEI BOT GDNS UTILITY-BOILER, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000981, 0),
(305, PALMER FIELD TEMPORARY RECREATION FACILITY, 105, WASHTENAW AVE, ANN ARBOR, MI, 48109, 42.2593497, -83.7104997, 1005510, 0),
(306, STOCKWELL MADELON LOUISA HALL, 324, OBSERVATORY ST, ANN ARBOR, MI, 48109-2040, 42.2786407, -83.7311018, 1000064, 0),
(307, BREHM TOWER, 1000, WALL ST, ANN ARBOR, MI, 48105-1910, 42.288225, -83.7373099, 1005102, 0),
(308, NORTH CAMPUS RESEARCH COMPLEX BUILDING 16, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005256, 0),
(309, COOK MARTHA BUILDING, 906, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1195, 42.2744632, -83.7379794, 1000052, 0),
(310, BAITS VERA I EATON HOUSE, 1320, HUBBARD ST, ANN ARBOR, MI, 48109-2030, 42.2953195, -83.7047363, 1000510, 0),
(311, JEFFRIES HALL, 701, STATE ST, ANN ARBOR, MI, 48109-3091, 42.2730016, -83.7400511, 1005235, 0),
(312, 1018 FULLER BUILDING, 1018, FULLER ST, ANN ARBOR, MI, 48104-1213, 42.2858705, -83.7380787, 1000327, 0),
(313, 2725 S INDUSTRIAL HWY, 2725, INDUSTRIAL HWY, ANN ARBOR, MI, 48104-6233, 42.2494577, -83.7318196, 1005342, 0),
(314, INSTITUTE FOR SOCIAL RESEARCH, 426, THOMPSON ST, ANN ARBOR, MI, 48104-2321, 42.2767469, -83.7437309, 1000145, 0),
(315, TROTTER WILLIAM MONROE MULTICULTURAL CENTER, 428, STATE ST, ANN ARBOR, MI, 48109, 42.2770734, -83.7410927, 1005413, 0),
(316, DOW HERBERT H BUILDING, 2300, HAYWARD ST, ANN ARBOR, MI, 48109-2136, 42.2930047, -83.7154318, 1000447, 0),
(317, HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING, 1100, STATE ST, ANN ARBOR, MI, 48104-3787, 42.268942, -83.740652, 1000201, 0),
(318, ARBOR LAKES 2, 4255, PLYMOUTH RD, ANN ARBOR, MI, 48105-2734, 42.2921349, -83.736384, 1008080, 0),
(319, NORTH CAMPUS RESEARCH COMPLEX BUILDING 20, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005259, 0),
(320, REC SPORTS ADVENTURE LEADERSHIP RENTAL CENTER, 613, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2862296, -83.745874, 1005568, 0),
(321, 727 W ELLSWORTH ROAD, 727, ELLSWORTH RD, ANN ARBOR, MI, 48108, 42.2297157, -83.7277371, 1005332, 0),
(322, RESTROOM FACILITY TEMPORARY TRAILER, 613, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2862296, -83.745874, 1005571, 0),
(323, ATHLETICS FACILITY SUPPORT BUILDING, 2254, STATE ST, ANN ARBOR, MI, 48109, 42.2540055, -83.7397388, 1005402, 0),
(324, 712 S DIVISION ST, 712, DIVISION ST, ANN ARBOR, MI, 48104, 42.2727793, -83.7444799, 1005532, 0),
(325, HUBBARD ST RECREATION FIELDS STORAGE UNIT A, 1451, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2953195, -83.7047363, 1005581, 0),
(326, EDUCATION SCHOOL OF, 610, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1259, 42.2739156, -83.7367575, 1000221, 0),
(327, RADIATION SCIENCES LABORATORY 1, 2600, DRAPER DR, ANN ARBOR, MI, 48109-2145, 42.2930839, -83.7091305, 1000416, 0),
(328, CHRYSLER CENTER CONTINUING ENGINEERING EDUCATION, 2121, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2092, 42.2908857, -83.7167743, 1000443, 0),
(329, CENTRAL CAMPUS RESIDENTIAL DEVELOPMENT BUILDING 2, 330, HILL ST, ANN ARBOR, MI, 48109, 42.2716606, -83.7458185, 1005615, 0),
(330, CENTRAL CAMPUS RESIDENTIAL DEVELOPMENT BUILDING 4, 910, DIVISION ST, ANN ARBOR, MI, 48109, 42.2706441, -83.7445039, 1005617, 0),
(331, KINGSLEY CONDOMINIUMS, 218, KINGSLEY ST, STE 201, ANN ARBOR, MI, 48103, 0.0, 0.0, 1005508, 0),
(332, INTRAMURAL SPORTS BUILDING, 606, HOOVER AVE, ANN ARBOR, MI, 48109-1018, 42.269374, -83.7422359, 1000719, 0),
(333, 5  MARSHALL CT, 5, MARSHALL CT, ANN ARBOR, MI, 48104, 42.2735175, -83.744678, 1005564, 0),
(334, ADMINISTRATIVE SERVICES, 1009, GREENE ST, ANN ARBOR, MI, 48109-1432, 42.2708188, -83.7474215, 1000815, 0),
(335, SOUTH QUADRANGLE, 600, MADISON ST, ANN ARBOR, MI, 48109-1372, 42.2737117, -83.7421512, 1000063, 0),
(336, E ANN ARBOR HEALTH AND GERIATRICS CTR MODULAR MRI, 4260, PLYMOUTH RD, ANN ARBOR, MI, 48109-2700, 42.2921349, -83.736384, 1005601, 0),
(337, MEDICAL SCIENCE UNIT II, 1137, CATHERINE ST, ANN ARBOR, MI, 48109-1621, 42.2841119, -83.7338857, 1000200, 0),
(338, UMTRI AUXILIARY BUILDING 2,  ,  , ANN ARBOR, MI, 48109, 42.2813722, -83.7484616, 1005621, 0),
(339, OH GEDDES RESIDENCE, 603, OXFORD RD, ANN ARBOR, MI, 48104-2600, 42.2752532, -83.7259805, 1000043, 0),
(340, RADRICK FARMS DRIVE RANGE SHELT, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000918, 0),
(341, RADRICK FARMS SHED-GARAGE, 4875, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000956, 0),
(342, RADRICK FARMS CHICKEN HOUSE, 4875, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000958, 0),
(343, RADRICK FARMS CORNCRIB #1, 4875, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000959, 0),
(344, RADRICK FARMS COMFORT STATION, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000970, 0),
(345, SHEPHERD DONALD R WOMENS GYMNASTIC CENTER, 2300, STATE ST, ANN ARBOR, MI, 48109, 42.2532644, -83.7397328, 1005077, 0),
(346, OH SEELEY LAUREL HARPER HALL, 627, OXFORD RD, ANN ARBOR, MI, 48104-2656, 42.2742727, -83.725142, 1000046, 0),
(347, HUBBARD ST RECREATION FIELDS SUPPORT UNIT F, 1451, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2953195, -83.7047363, 1005586, 0),
(348, MEDICAL SCIENCES RESEARCH BLDG II, 1150, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5600, 42.2845036, -83.7342888, 1000213, 0),
(349, UTILITIES SERVICE BUILDING, 1110, HURON ST, ANN ARBOR, MI, 48104-1631, 42.2819192, -83.7613376, 1000261, 0),
(350, AEROSPACE ENGINEERING LAB PLASMA RESEARCH, 2603, DRAPER DR, ANN ARBOR, MI, 48109-2101, 42.2931293, -83.7104147, 1000425, 0),
(351, SCHEMBECHLER GLENN E HALL, 1200, STATE ST, ANN ARBOR, MI, 48109-2203, 0.0, 0.0, 1000705, 0),
(352, KELLOGG W K FOUNDATION INSTITUTE, 1011, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1078, 42.279295, -83.7362433, 1005518, 0),
(353, INDOOR TRACK BUILDING, 2540, STATE ST, ANN ARBOR, MI, 48109, 42.249477, -83.7395219, 1005398, 0),
(354, TRACK AND FIELD AUXILIARY BUILDING, 2544, STATE ST, ANN ARBOR, MI, 48109, 42.249441, -83.7395207, 1005400, 0),
(355, 2205 COMMONWEALTH BLVD, 2205, COMMONWEALTH BLVD, ANN ARBOR, MI, 48105, 42.3074936, -83.6961214, 1005165, 0),
(356, 725 STATE CIRCLE, 725, STATE CIR, ANN ARBOR, MI, 48108, 42.2345926, -83.7433066, 1005372, 0),
(357, MATTHAEI BOT GDNS GREENHOUSE #1, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000983, 0),
(358, MATTHAEI BOT GDNS GREENHOUSE #4, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000989, 0),
(359, 622 S DIVISION ST, 622, DIVISION ST, ANN ARBOR, MI, 48104, 42.2733893, -83.7444573, 1005529, 0),
(360, 626 S DIVISION ST, 626, DIVISION ST, ANN ARBOR, MI, 48104, 42.2733827, -83.7444577, 1005531, 0),
(361, 726 S DIVISION ST, 726, DIVISION ST, ANN ARBOR, MI, 48104, 42.2724007, -83.7444903, 1005535, 0),
(362, 1210 WASHTENAW COURT, 1210, WASHTENAW CT, ANN ARBOR, MI, 48104, 42.2770878, -83.7343115, 1005629, 0),
(363, 318 JOHN ST, 318, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005590, 0),
(364, MOTT CHILDRENS VON VOIGTLANDER WOMENS HOSPITALS, 1540, HOSPITAL DR, ANN ARBOR, MI, 48109, 42.2823309, -83.7285233, 1005173, 0),
(365, NORTH CAMPUS RESEARCH COMPLEX BUILDING 100, 1600, HURON PKWY, ANN ARBOR, MI, 48109-2800, 42.297726, -83.704761, 1005276, 0),
(366, 342 E MADISON ST, 342, MADISON ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005560, 0),
(367, 4  MARSHALL CT, 4, MARSHALL CT, ANN ARBOR, MI, 48104, 42.2735175, -83.744678, 1005563, 0),
